"predator","prey","From","To","Type"
"Amphibolurus burnsi","Araneidae","skinks","insect","Predator-prey"
"Amphibolurus burnsi","Blattodea","skinks","insect","Predator-prey"
"Amphibolurus burnsi","Chilopoda","skinks","insect","Predator-prey"
"Amphibolurus burnsi","Coleoptera","skinks","insect","Predator-prey"
"Amphibolurus burnsi","Lepidoptera","skinks","insect","Predator-prey"
"Anas superciliosa","Blattodea","bird","insect","Predator-prey"
"Anas superciliosa","Coleoptera","bird","insect","Predator-prey"
"Anas superciliosa","Triodia basedownii","bird","spinifex","Predator-prey"
"Anas superciliosa","Triodia longiceps","bird","spinifex","Predator-prey"
"Anas superciliosa","Triodia pungens","bird","spinifex","Predator-prey"
"Antaresia stimsoni","Ctenotus robustus","Snakes","skinks","Predator-prey"
"Antaresia stimsoni","Egernia kintorei","Snakes","skinks","Predator-prey"
"Antaresia stimsoni","Egernia striata","Snakes","skinks","Predator-prey"
"Antaresia stimsoni","Egernia striolata","Snakes","skinks","Predator-prey"
"Antaresia stimsoni","Hemiergis peronii","Snakes","skinks","Predator-prey"
"Antaresia stimsoni","Lagorchestes hirsutus","Snakes","small mammal","Predator-prey"
"Antaresia stimsoni","Leggadina forresti","Snakes","small mammal","Predator-prey"
"Antaresia stimsoni","Leiolopisma metallicum","Snakes","skinks","Predator-prey"
"Antaresia stimsoni","Leiolopisma trilineatum","Snakes","skinks","Predator-prey"
"Antaresia stimsoni","Lerista bougainvillea","Snakes","skinks","Predator-prey"
"Antaresia stimsoni","Menetia greyii","Snakes","skinks","Predator-prey"
"Antaresia stimsoni","Morethia lineoocellatus","Snakes","skinks","Predator-prey"
"Antaresia stimsoni","Notaden nichollsi","Snakes","skinks","Predator-prey"
"Antaresia stimsoni","Notomys sp.","Snakes","small mammal","Predator-prey"
"Antaresia stimsoni","Tiliqua multifasciata","Snakes","skinks","Predator-prey"
"Antaresia stimsoni","Tiliqua occipitalis","Snakes","skinks","Predator-prey"
"Antaresia stimsoni","Tiliqua scincoides","Snakes","skinks","Predator-prey"
"Antaresia stimsoni","Notoryctes caurinus","Snakes","small mammal","Predator-prey"
"Antaresia stimsoni","Petrogale lateralis","Snakes","small mammal","Predator-prey"
"Antaresia stimsoni","Tachyglossus aculeatus","Snakes","small mammal","Predator-prey"
"Aprasia striolata","Formicidae","skinks","insect","Predator-prey"
"Aprasia striolata","Lepidoptera","skinks","insect","Predator-prey"
