predator,prey,weight
Amphibolurus burnsi,Araneidae,20
Amphibolurus burnsi,Blattodea,20
Amphibolurus burnsi,Chilopoda,20
Amphibolurus burnsi,Coleoptera,20
Amphibolurus burnsi,Lepidoptera,20
Anas superciliosa,Blattodea,40
Anas superciliosa,Coleoptera,40
Anas superciliosa,Triodia basedownii,6
Anas superciliosa,Triodia longiceps,7
Anas superciliosa,Triodia pungens,7
Antaresia stimsoni,Ctenotus robustus,2
Antaresia stimsoni,Egernia kintorei,2
Antaresia stimsoni,Egernia striata,2
Antaresia stimsoni,Egernia striolata,2
Antaresia stimsoni,Hemiergis peronii,2
Antaresia stimsoni,Lagorchestes hirsutus,2
Antaresia stimsoni,Leggadina forresti,2
Antaresia stimsoni,Leiolopisma metallicum,2
Antaresia stimsoni,Leiolopisma trilineatum,2
Antaresia stimsoni,Lerista bougainvillea,2
Antaresia stimsoni,Menetia greyii,2
Antaresia stimsoni,Morethia lineoocellatus,3
Antaresia stimsoni,Notaden nichollsi,20
Antaresia stimsoni,Notomys sp.,20
Antaresia stimsoni,Tiliqua multifasciata,3
Antaresia stimsoni,Tiliqua occipitalis,3
Antaresia stimsoni,Tiliqua scincoides,3
Antaresia stimsoni,Notoryctes caurinus,20
Antaresia stimsoni,Petrogale lateralis,3
Antaresia stimsoni,Tachyglossus aculeatus,3
Aprasia striolata,Formicidae,99
Aprasia striolata,Lepidoptera,1
Ardeotis australis,Amphibolurus burnsi,4
Ardeotis australis,Blattodea,3
Ardeotis australis,Chilopoda,3
Ardeotis australis,Coleoptera,3
Ardeotis australis,Ctenotus leonhardii,3
Ardeotis australis,Ctenotus robustus,3
Ardeotis australis,Ctenotus strauchii,3
Ardeotis australis,Egernia striolata,3
Ardeotis australis,Heteronotia binoei,5
Ardeotis australis,Lepidoptera,3
Ardeotis australis,Notomys sp.,4
Ardeotis australis,Oedura marmorata,4
Ardeotis australis,Pogona vitticeps,2
Ardeotis australis,Pseudechis australis,2
Ardeotis australis,Pygopus schraderi,2
Ardeotis australis,Solanum centrale,2
Ardeotis australis,Solanum chippendalei,2
Ardeotis australis,Solanum cleistogamum,2
Ardeotis australis,Solanum diversiflorum,2
Ardeotis australis,Solanum gilesii,2
Ardeotis australis,Stiltia isabella,2
Ardeotis australis,Suta suta,4
Ardeotis australis,Taeniopygia guttata,4
Ardeotis australis,Tiliqua multifasciata,4
Ardeotis australis,Tiliqua occipitalis,3
Ardeotis australis,Triodia basedownii,1
Ardeotis australis,Triodia longiceps,1
Ardeotis australis,Triodia pungens,1
Ardeotis australis,Turnix velox,3
Ardeotis australis,Tympanocryptis tetraporophora,3
Ardeotis australis,Varanus gouldii,2
Ardeotis australis,Varanus tristis,3
Ardeotis australis,Melopsittacus undulatus,4
Ardeotis australis,Notoryctes caurinus,4
Ardeotis australis,Ocyphaps lophotes,4
Aspidites melanocephalus,Bettongia lesueur,3
Aspidites melanocephalus,Ctenophorus caudicinctus,2
Aspidites melanocephalus,Ctenophorus caudicinctus,2
Aspidites melanocephalus,Ctenotus isolepis,2
Aspidites melanocephalus,Ctenotus robustus,2
Aspidites melanocephalus,Egernia kintorei,2
Aspidites melanocephalus,Egernia striata,2
Aspidites melanocephalus,Egernia striolata,2
Aspidites melanocephalus,Hemiergis peronii,2
Aspidites melanocephalus,Lagorchestes hirsutus,3
Aspidites melanocephalus,Leiolopisma metallicum,2
Aspidites melanocephalus,Leiolopisma trilineatum,2
Aspidites melanocephalus,Lerista bougainvillea,2
Aspidites melanocephalus,Lophognatus gilberti,4
Aspidites melanocephalus,Menetia greyii,2
Aspidites melanocephalus,Moloch horridus,2
Aspidites melanocephalus,Morethia lineoocellatus,2
Aspidites melanocephalus,Notomys sp.,6
Aspidites melanocephalus,Pogona minor,2
Aspidites melanocephalus,Pogona minor,2
Aspidites melanocephalus,Pogona vitticeps,2
Aspidites melanocephalus,Pogona vitticeps,2
Aspidites melanocephalus,Pseudechis australis,2
Aspidites melanocephalus,Pseudechis australis,5
Aspidites melanocephalus,Reptile eggs,2
Aspidites melanocephalus,Suta suta,2
Aspidites melanocephalus,Taeniopygia guttata,2
Aspidites melanocephalus,Tiliqua occipitalis,2
Aspidites melanocephalus,Tiliqua scincoides,4
Aspidites melanocephalus,Varanus acanthurus,14
Aspidites melanocephalus,Varanus tristis,15
Aspidites melanocephalus,Melopsittacus undulatus,2
Aspidites melanocephalus,Notoryctes caurinus,6
Aspidites melanocephalus,Ocyphaps lophotes,2
Aspidites melanocephalus,Petrogale lateralis,3
Aspidites melanocephalus,Tachyglossus aculeatus,3
Aspidites ramsayii,Bettongia lesueur,8
Aspidites ramsayii,Ctenophorus caudicinctus,2
Aspidites ramsayii,Ctenophorus caudicinctus,2
Aspidites ramsayii,Ctenotus isolepis,2
Aspidites ramsayii,Egernia kintorei,1
Aspidites ramsayii,Egernia striata,1
Aspidites ramsayii,Egernia striolata,1
Aspidites ramsayii,Hemiergis peronii,1
Aspidites ramsayii,Lagorchestes hirsutus,8
Aspidites ramsayii,Leiolopisma metallicum,1
