"","insect","spinifex","skinks","large skinks","mala","small mammal","kangaroo","echidna","snakes","solanum","bird","goanna","betong","eggs","grass","forb","acacia","tree","misc plant","subshrub","shrub","wama","human","bandicoot","bilby","grub","carnivorous mammal","possum","eagle","bustard","dingo","cat","camel","emu","fox","patchiness","human fire","lightning fire","fire"
"insect",-0.1,0,-0.0135659889030522,-0.0123472896487742,-0.103956831975379,-0.380797239918016,0,-0.246259455464025,0,0,-0.450258627138393,-0.0919028325542652,0,0,0,0.00225873141092933,0.0149577858680729,0.00380547999333958,0,0.0199907896794016,0,0.0114711773164181,-0.133756208022502,-0.186863643533194,-0.32941458720034,0,-0.219784792476993,0,-0.121871740420729,-0.23427776014641,-0.121749664194182,0,0,0,-0.320090560215188,0,0,0,0
"spinifex",0,-1,0,-0.0382443687505764,-0.0368278896061021,-0.343783727112202,-0.15217397725882,0,0,0,-0.383946366494326,0,-0.51410510489451,0,0,0,0,0,0,0,0,0,0,-0.134345016288004,0,0,0,0,0,-0.0984845894093173,0,0,-0.469156687557701,-0.0163134447033747,0,0,-0.816082234000787,-0.0475841418467462,0
"skinks",0.00135659889030522,0,-0.1,0.0399733908211944,0,0,0,0,-0.0501888298150592,0,-0.0126830168433222,-0.215990502172956,0,0,0,0,0,0,0,0,0,0,-0.130084252360007,0,0,0.0369430477750584,0,0,-0.321133508826921,-0.27839209806931,-0.734844204176309,-0.0668085813063963,0,-0.240726345756523,0,0,0,0,0
"large skinks",0.00123472896487742,0.97378257975308,-0.399733908211944,-0.1,0,0,0,0,-0.0764661016984029,0.0303106405928211,0,0,0,0,0.345680271969444,0.0129790890553708,0,0,0,0.0231010754733983,0,0,-0.104951868274234,0,0,0.00200701790394326,0,0,-0.255658849897874,-0.257537019539202,-0.459503446006742,-0.088961283208866,0,0,0,0.587459507577587,0,0,0
"mala",0.0103956831975379,0.398868311865695,0,0,-0.1,0,0,0,-0.259183781363158,0,-0.0946068340086278,0,0,0,0.711760712657124,0.00616976067291916,0,0,0,0,0,0,-0.0185213569756461,0,0,0,-0.0939381917689055,0,-0.377429141762186,0,-0.28579957999666,-0.0508967148751238,0,0,0,0.257286876847502,0,-0.954290244851727,0
"small mammal",0.0380797239918016,0.692031631729191,0,0,0,-0.1,0,0,-0.207471250048709,0,0,0,0,0,0.572977217095168,0.00695448366275838,0,0,0.00583795679021825,0.0245765357882222,0.00786924399603332,0,-0.0396012176707779,0,0,0,-0.0901778115281011,0,-0.331547213319871,-0.118909585331792,-0.248871510269859,-0.326161455593663,0,0,-0.0125088059405626,0.476622883542441,0,0,0
"kangaroo",0,0.775950127768537,0,0,0,0,-0.1,0,-0.153397250011128,0,-0.195158850395642,0,0,0,0.847324417247787,0.0443787899116021,0,0,0,0,0,0,-0.267906474390482,0,0,0,-0.403395485236357,0,-0.351728928547909,0,-0.199357404338845,-0.250738874215393,0,0,0,0.864511014772579,0,0,0
"echidna",0.0246259455464025,0.370744350950699,0,0,0,0,0,-0.1,-0.264729711747258,0,-0.0402829249114889,0,0,0,0.0702600695076399,0,0,0,0,0,0,0,-0.145128935730643,0,0,0,-0.510233310728885,0,0,0,-0.216534443426067,-0.063627056413269,0,0,0,0.451086026565172,0,0,0
"snakes",0,0,0.00501888298150592,0.00764661016984029,0.0259183781363158,0.0207471250048709,0.0153397250011128,0.0264729711747258,-0.1,0,-0.226764137430968,0.0250731716974281,0.0189043565195152,0.0187525722210929,0,0,0,0,0,0,0,0,-0.0647187674952788,0,0,0,0.00823485418866135,0,0,-0.313194792865962,0,-0.386423799048212,0,0,0,0,0,0,0
"solanum",0,0,0,-0.303106405928211,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256431468859183,0,0,0,0,0,0,-0.105560508898046,0,0,-0.0619119197064934,0,0,0,-0.331486373969819,-0.621788933833595,0
"bird",0.0450258627138393,0.0383946366494326,0.00126830168433222,0,0.00946068340086278,0,0.0195158850395642,0.00402829249114889,0.0226764137430968,0,-0.1,0.0288168111758739,0.00590373454050788,0,0.0244254278690596,0.00361827394583553,0.0193733868199431,0.0303239917777708,0.00786829666149292,0.0156937876379852,0.0139808355149886,0,-0.140123455171458,0,0,0,0.00721421164456903,0,-0.319884474905005,-0.743641038264774,-0.3995560006088,-0.44745545337509,0,0,0,0,0,0,0
"goanna",0.00919028325542652,0.380792559352703,0.0215990502172956,0,0,0,0,0,-0.25073171697428,0,-0.288168111758739,-0.1,0,0.0147253769098603,0.755145056501497,0,0,0,0,0,0,0,-0.0242014379073862,0,0,0,0,0,-0.162829831872931,-0.402337232480728,-0.0682718582465021,-0.337749067921351,0,0,0,0.466105650828686,0,-0.060065088281408,0
"betong",0,0.051410510489451,0,0,0,0,0,0,-0.189043565195152,0,-0.0590373454050788,0,-0.1,0,0.0397776295847089,0.00460309309295749,0,0,0,0,0,0,-0.0363095338038277,0,0,0,-0.121583847236556,0,-0.0698451335964767,0,-0.0225480999730304,0,0,0,0,0,0,0,0
"eggs",0,0,0,0,0,0,0,0,-0.187525722210929,0,0,-0.147253769098603,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.240998641295355,0,0,-0.237211902366338,0,0,0,0
"grass",0,0,0,-0.285739372859587,0,-0.127153312244538,-0.177444144760967,0,0,0,-0.244254278690596,0,-0.397776295847089,0,-1,0,0,0,0,0,0,0,-0.0178165763613578,-0.597826010371191,0,0,0,0,0,0,0,0,-0.0808779901748897,-0.388786699655503,0,0,-0.900105037242174,-0.577770529000554,0
"forb",-0.0225873141092933,0,0,-0.129790890553708,-0.0616976067291916,-0.0695448366275838,-0.443787899116021,0,0,0,-0.0361827394583553,0,-0.0460309309295749,0,0,-1,0,0,0,0,0,0,-0.0732139195382803,-0.250227362662773,0,0,0,-0.58797357477033,0,0,0,0,-0.302879109826545,-0.130280498565808,0,0,-0.65876334651839,-0.072563934144564,0
"acacia",-0.149577858680729,0,0,0,0,0,0,0,0,0,-0.193733868199431,0,0,0,0,0,-1,0,0,0,0,0,-0.0520452324264942,-0.0727848857112895,0,-0.264465743730017,0,0,0,0,0,0,0,0,0,0,-0.49073321434902,-0.0314572021039203,0
"tree",-0.0380547999333958,0,0,0,0,0,0,0,0,0,-0.303239917777708,0,0,0,0,0,0,-1,0,0,0,0,-0.425169734884594,-0.117283176269877,0,-0.0578606874410461,0,-0.0819248218039984,0,0,0,0,-0.10892806044934,-0.0160987806824899,0,0,-0.951838221149519,-0.0292348719062284,0
"misc plant",0,0,0,0,0,-0.0583795679021825,0,0,0,0,-0.0786829666149292,0,0,0,0,0,0,0,-1,0,0,0,-0.132610052850594,0,0,0,0,-0.0348173868080128,0,0,0,0,-0.105436861596053,-0.52450594650824,0,0,-0.142324968848843,-0.443224646160379,0
"subshrub",-0.199907896794016,0,0,-0.231010754733983,0,-0.245765357882222,0,0,0,0,-0.156937876379852,0,0,0,0,0,0,0,0,-1,0,0,-0.0558708917585119,-0.514376050457335,0,0,0,-0.0815249874743102,0,0,0,0,-0.119241082036149,-0.0255466248608832,0,0,-0.232793657926377,-0.770366856439505,0
"shrub",0,0,0,0,0,-0.0786924399603332,0,0,0,0,-0.139808355149886,0,0,0,0,0,0,0,0,0,-1,0,-0.38514576059678,0,0,0,0,-0.0424337106431794,0,0,0,0,-0.126050586611963,-0.318559559918602,0,0,-0.626020182487555,-0.0240705981967039,0
"wama",-0.114711773164181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.131470106880912,0,0,0,0,-0.260795904269118,0,0,0,0,-0.133672926189215,-0.0402541110781868,0,0,-0.901108318257611,-0.221923704543151,0
"human",0.0133756208022502,0,0.0130084252360007,0.0104951868274234,0.00185213569756461,0.00396012176707779,0.0267906474390482,0.0145128935730643,0.00647187674952788,0.033979877435871,0.0140123455171458,0.00242014379073863,0.00363095338038277,0,0.00178165763613578,0.00732139195382803,0.00520452324264942,0.0425169734884594,0.0132610052850594,0.00558708917585119,0.038514576059678,0.0131470106880912,-0.1,0.0215979063647883,0.0268804979098607,0,0.0202960996289428,0.00880760915590655,0.0183225941727632,0.0310209460946653,0.0363256584156415,0.00384543236272727,0.0244627833710108,0.00301918611124288,0.010844271074134,0,0,0,0
"bandicoot",0.0186863643533194,0.830460411967653,0,0,0,0,0,0,0,0,0,0,0,0,0.736263681890965,0.0250227362662773,0.00727848857112895,0.0117283176269877,0,0.0514376050457335,0,0,-0.215979063647883,-0.1,0,0,-0.36499060947555,0,-0.35693237184251,0,-0.278353787280069,0,0,0,0,0.351088761568535,0,-0.421489756507799,0
"bilby",0.032941458720034,0.949162803571671,0,0,0,0,0,0,0,0,0,0,0,0,0.310271297052968,0,0,0,0,0,0,0,-0.268804979098607,0,-0.1,0,-0.119646979792483,0,0,0,0,0,0,0,0,0.764507306774613,0,-0.576797786548268,0
"grub",0,0,-0.369430477750583,-0.0200701790394326,0,0,0,0,0,0,0,0,0,0,0,0,0.0264465743730017,0.00578606874410461,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,-0.0590572866714691,0,0,0,0,0
"carnivorous mammal",0.0219784792476993,0,0,0,0.00939381917689055,0.00901778115281011,0.0403395485236357,0.0510233310728885,-0.0823485418866135,0,-0.0721421164456903,0,0.0121583847236556,0,0,0,0,0,0,0,0,0,-0.202960996289428,0.036499060947555,0.0119646979792483,0,-0.1,0,0,0,0,-0.200737414573003,0,0,0,0,0,0,0
"possum",0,0.841687710140832,0,0,0,0,0,0,0,0,0,0,0,0,0.217132906164043,0.058797357477033,0,0.00819248218039984,0.00348173868080128,0.00815249874743102,0.00424337106431794,0.0260795904269118,-0.0880760915590655,0,0,0,0,-0.1,0,0,-0.124297753514592,-0.135030664109784,0,0,-0.0940847627257512,0.0991002116841264,0,0,0
"eagle",0.0121871740420729,0,0.0321133508826921,0.0255658849897874,0.0377429141762186,0.0331547213319871,0.0351728928547909,0,0,0,0.0319884474905005,0.0162829831872931,0.00698451335964767,0,0,0,0,0,0,0,0,0,-0.183225941727632,0.035693237184251,0,0,0,0,-0.1,0,-0.29429528218877,0.0433631355950173,0,0,-0.266741556801137,0,0,0,0
"bustard",0.023427776014641,0.00984845894093173,0.027839209806931,0.0257537019539202,0,0.0118909585331792,0,0,0.0313194792865962,0.0105560508898046,0.0743641038264774,0.0402337232480728,0,0,0,0,0,0,0,0,0,0,-0.310209460946653,0,0,0,0,0,0,-0.1,-0.14726203411341,-0.398159381840564,0,0,-0.012170905328963,0,0,0,0
"dingo",0.0121749664194182,0,0.0734844204176309,0.0459503446006742,0.028579957999666,0.0248871510269859,0.0199357404338845,0.0216534443426067,0,0,0.03995560006088,0.00682718582465021,0.00225480999730304,0,0,0,0,0,0,0,0,0,0.113240656941553,0.0278353787280069,0,0,0,0.0124297753514592,0.029429528218877,0.014726203411341,-0.1,0.00251619515130508,0.0597771131677105,0.00860358768492572,0.0407942490659056,0.786754812649451,0,-0.86962759824004,0
