"from","to","type"
"skinks","insect","predatorprey"
"bird","insect","predatorprey"
"bird","spinifex","predatorprey"
"Snakes","skinks","predatorprey"
"Snakes","large skinks","predatorprey"
"Snakes","mala","predatorprey"
"Snakes","small mammal","predatorprey"
"Snakes","kangaroo","predatorprey"
"Snakes","echidna","predatorprey"
"bustard","skinks","predatorprey"
"bustard","insect","predatorprey"
"bustard","large skinks","predatorprey"
"bustard","small mammal","predatorprey"
"bustard","Snakes","predatorprey"
"bustard","solanum","predatorprey"
"bustard","bird","predatorprey"
"bustard","spinifex","predatorprey"
"bustard","goanna","predatorprey"
"Snakes","betong","predatorprey"
"Snakes","Snakes","predatorprey"
"Snakes","eggs","predatorprey"
"Snakes","bird","predatorprey"
"Snakes","goanna","predatorprey"
"betong","grass","predatorprey"
"betong","spinifex","predatorprey"
"betong","forb","predatorprey"
"bird","Acacia","predatorprey"
"bird","Tree","predatorprey"
"camel","misc plant","predatorprey"
"camel","subshrub","predatorprey"
"camel","shrub","predatorprey"
"camel","forb","predatorprey"
"camel","grass","predatorprey"
"camel","wama","predatorprey"
"camel","spinifex","predatorprey"
"camel","Tree","predatorprey"
"camel","solanum","predatorprey"
"bandicoot","grass","predatorprey"
"bandicoot","spinifex","predatorprey"
"bandicoot","forb","predatorprey"
"bird","forb","predatorprey"
"bird","misc plant","predatorprey"
"bird","subshrub","predatorprey"
"bird","human","predatorprey"
"bird","mala","predatorprey"
"bird","skinks","predatorprey"
"bird","Snakes","predatorprey"
"bird","bird","predatorprey"
"bird","goanna","predatorprey"
"bird","kangaroo","predatorprey"
"bird","echidna","predatorprey"
"skinks","skinks","predatorprey"
"carnivorous mammal","insect","predatorprey"
"carnivorous mammal","betong","predatorprey"
"carnivorous mammal","bandicoot","predatorprey"
"carnivorous mammal","mala","predatorprey"
"carnivorous mammal","Bilby","predatorprey"
"carnivorous mammal","small mammal","predatorprey"
"carnivorous mammal","bird","predatorprey"
"carnivorous mammal","kangaroo","predatorprey"
"carnivorous mammal","echidna","predatorprey"
"emu","Tree","predatorprey"
"emu","misc plant","predatorprey"
"emu","subshrub","predatorprey"
"emu","shrub","predatorprey"
"emu","forb","predatorprey"
"emu","grub","predatorprey"
"emu","wama","predatorprey"
"emu","skinks","predatorprey"
"emu","spinifex","predatorprey"
"emu","grass","predatorprey"
"large skinks","insect","predatorprey"
"large skinks","spinifex","predatorprey"
"large skinks","forb","predatorprey"
"large skinks","subshrub","predatorprey"
"large skinks","solanum","predatorprey"
"large skinks","grass","predatorprey"
"grub","Acacia","predatorprey"
"grub","Tree","predatorprey"
"bird","betong","predatorprey"
"bird","carnivorous mammal","predatorprey"
"skinks","grub","predatorprey"
"bandicoot","Acacia","predatorprey"
"bandicoot","Tree","predatorprey"
"bandicoot","insect","predatorprey"
"bandicoot","subshrub","predatorprey"
"small mammal","insect","predatorprey"
"small mammal","grass","predatorprey"
"small mammal","spinifex","predatorprey"
"small mammal","forb","predatorprey"
"kangaroo","forb","predatorprey"
"kangaroo","grass","predatorprey"
"kangaroo","spinifex","predatorprey"
"Bilby","insect","predatorprey"
"bird","shrub","predatorprey"
"bird","grass","predatorprey"
"skinks","large skinks","predatorprey"
"small mammal","misc plant","predatorprey"
"small mammal","subshrub","predatorprey"
"small mammal","shrub","predatorprey"
