From,To,Type
skinks,insect,Predator-prey
bird,insect,Predator-prey
bird,spinifex,Predator-prey
Snakes,skinks,Predator-prey
Snakes,mala,Predator-prey
Snakes,small mammal,Predator-prey
bustard,skinks,Predator-prey
bustard,insect,Predator-prey
bustard,small mammal,Predator-prey
bustard,Snakes,Predator-prey
bustard,solanum,Predator-prey
bustard,bird,Predator-prey
bustard,spinifex,Predator-prey
bustard,goanna,Predator-prey
Snakes,betong,Predator-prey
Snakes,Snakes,Predator-prey
Snakes,eggs,Predator-prey
Snakes,bird,Predator-prey
Snakes,goanna,Predator-prey
Snakes,rabbit,Predator-prey
betong,spinifex,Predator-prey
betong,forb,Predator-prey
betong,bush,Predator-prey
bird,Acacia,Predator-prey
camel,vine,Predator-prey
camel,bush,Predator-prey
camel,forb,Predator-prey
camel,spinifex,Predator-prey
camel,wama,Predator-prey
camel,solanum,Predator-prey
bandicoot,spinifex,Predator-prey
bandicoot,forb,Predator-prey
bird,forb,Predator-prey
bird,vine,Predator-prey
bird,bush,Predator-prey
bird,human,Predator-prey
bird,mala,Predator-prey
bird,skinks,Predator-prey
bird,Snakes,Predator-prey
bird,bird,Predator-prey
bird,goanna,Predator-prey
bird,small mammal,Predator-prey
skinks,skinks,Predator-prey
small mammal,insect,Predator-prey
small mammal,betong,Predator-prey
small mammal,bandicoot,Predator-prey
small mammal,mala,Predator-prey
small mammal,small mammal,Predator-prey
small mammal,bird,Predator-prey
emu,Acacia,Predator-prey
emu,vine,Predator-prey
emu,bush,Predator-prey
emu,forb,Predator-prey
emu,grub,Predator-prey
emu,wama,Predator-prey
emu,skinks,Predator-prey
emu,spinifex,Predator-prey
skinks,spinifex,Predator-prey
skinks,bush,Predator-prey
skinks,solanum,Predator-prey
skinks,forb,Predator-prey
grub,Acacia,Predator-prey
bird,betong,Predator-prey
bird,rush,Predator-prey
skinks,grub,Predator-prey
bandicoot,Acacia,Predator-prey
bandicoot,insect,Predator-prey
bandicoot,bush,Predator-prey
small mammal,spinifex,Predator-prey
small mammal,forb,Predator-prey
kangaroo,forb,Predator-prey
kangaroo,spinifex,Predator-prey
kangaroo,bush,Predator-prey
rabbit,vine,Predator-prey
rabbit,bush,Predator-prey
rabbit,spinifex,Predator-prey
rabbit,forb,Predator-prey
small mammal,vine,Predator-prey
small mammal,bush,Predator-prey
small mammal,Acacia,Predator-prey
small mammal,wama,Predator-prey
goanna,insect,Predator-prey
goanna,skinks,Predator-prey
goanna,eggs,Predator-prey
goanna,human,Predator-prey
goanna,goanna,Predator-prey
fox,insect,Predator-prey
fox,eggs,Predator-prey
fox,small mammal,Predator-prey
fox,eagle,Predator-prey
fox,bustard,Predator-prey
eagle,betong,Predator-prey
eagle,dingo,Predator-prey
eagle,bandicoot,Predator-prey
eagle,skinks,Predator-prey
eagle,cat,Predator-prey
eagle,mala,Predator-prey
eagle,kangaroo,Predator-prey
eagle,small mammal,Predator-prey
eagle,insect,Predator-prey
eagle,bird,Predator-prey
eagle,goanna,Predator-prey
dingo,bustard,Predator-prey
dingo,betong,Predator-prey
dingo,bandicoot,Predator-prey
dingo,insect,Predator-prey
dingo,skinks,Predator-prey
dingo,cat,Predator-prey
dingo,human,Predator-prey
dingo,mala,Predator-prey
dingo,kangaroo,Predator-prey
dingo,small mammal,Predator-prey
dingo,goanna,Predator-prey
dingo,eagle,Predator-prey
dingo,camel,Predator-prey
dingo,emu,Predator-prey
dingo,bird,Predator-prey
dingo,fox,Predator-prey
cat,skinks,Predator-prey
cat,mala,Predator-prey
cat,small mammal,Predator-prey
cat,Snakes,Predator-prey
cat,eggs,Predator-prey
cat,bird,Predator-prey
cat,goanna,Predator-prey
cat,bustard,Predator-prey
cat,fox,Predator-prey
human,Acacia,Predator-prey
human,vine,Predator-prey
human,bird,Predator-prey
human,Snakes,Predator-prey
human,eagle,Predator-prey
human,bustard,Predator-prey
human,betong,Predator-prey
human,insect,Predator-prey
human,camel,Predator-prey
human,dingo,Predator-prey
human,bush,Predator-prey
human,bandicoot,Predator-prey
human,fungus,Predator-prey
human,skinks,Predator-prey
human,forb,Predator-prey
human,small mammal,Predator-prey
human,emu,Predator-prey
human,cat,Predator-prey
human,wama,Predator-prey
human,human,Predator-prey
human,mala,Predator-prey
human,kangaroo,Predator-prey
human,rabbit,Predator-prey
human,spinifex,Predator-prey
human,solanum,Predator-prey
human,goanna,Predator-prey
human,fox,Predator-prey
mala,insect,Predator-prey
mala,forb,Predator-prey
mala,spinifex,Predator-prey
fire,Acacia,Predator-prey
fire,vine,Predator-prey
fire,forb,Predator-prey
fire,bush,Predator-prey
fire,fungus,Predator-prey
fire,spinifex,Predator-prey
fire,wama,Predator-prey
fire,solanum,Predator-prey
fire,eggs,Predator-prey
fire,insect,Predator-prey
fire,skinks,Predator-prey
human,dingo,positive
spinifex,rabbit,habitat
human,dingo,competition
