*Species	#	Conn	Mod	AicG	TroG	In	Out	Deg	Pos	Hmin	Hmean	Hmax	TroLev	OI	Clust	Eccen	Rank	CycTime	
*Antaresia_stimsoni	1	1	0	0	0	3	1	4	I	2	2.111	3	3.133	0.09428	0	3	0.01354	156.7	
Notaden_nichollsi	2	1	0	0	0	2	1	3	I	1	1	1	2	0	0	4	0.01671	173.9	
Aprasia_striolata	3	1	0	0	0	1	2	3	I	1	1	1	2	0	0.25	3	0.0169	226.2	
Suta_suta.Pseudechis_australis	4	1	0	0	0	3	3	6	I	2	2.1	3	3.133	0.09428	0.2222	3	0.01844	97.56	
Varanus_tristis	5	1	0	0	0	2	1	3	I	1	2	3	2.7	0.6	0	4	0.01396	146.5	
Corvus_cecilae.Aspidites_ramsayii.Aspidites_melanocephalus.Ardeotis_australis	6	1	0	0	0	10	3	13	I	1	4.25	7	3.217	1.74	0.6667	3	0.01763	14.47	
Orthoptera.Formicidae.Lepidoptera.Coleoptera.Chilopoda.Araneidae.Blattodea	7	1	0	0	0	0	12	12	B	0	0	0	1	0	0.1736	3	0.09637	13.32	
Falco_longipennis	8	1	0	0	0	6	2	8	I	1	2.654	4	3.206	0.7034	0.75	3	0.0153	59.75	
Trigona_sp..Scorpionida.Camponotus_inflatus	9	1	0	0	0	0	4	4	B	0	0	0	1	0	0.1875	3	0.04152	24.86	
Dasycercus_hilleri.Dasycercus_cristicauda	10	1	0	0	0	3	3	6	I	1	1	1	2	0	0.3333	3	0.02224	63.15	
Dasyurus_hallucatus	11	1	0	0	0	2	2	4	I	1	2	3	2.7	0.6	0.5	3	0.01609	112.4	
Dromaius_novaehollandiae	12	1	0	0	0	3	1	4	I	1	2	3	2.8	0.5249	0	3	0.01354	130.1	
Endoxyla_leucomochla.Endoxyla_cinerea	13	1	0	0	0	1	2	3	I	1	1	1	2	0	0.5	3	0.02811	169.1	
Typha_orientalis.Typha_dominguensis.Protozoans_(ciliates).Ostracods.Nematodes.Myriophyllum_crispatum.Lemna_disperma.Cephalodella_sp..Brachionus_sp..Bdelloid	14	1	0	0	0	0	1	1	B	0	0	0	1	0	0	4	0.02101	62.1	
Chortoicetes_terminifera.Heteroptera.Zygentoma_.Neuroptera.Phasmatodea.Mantodea.Diptera	15	1	0	0	0	0	4	4	B	0	0	0	1	0	0.1875	4	0.03765	25.71	
Macropus_rufus.Macropus_robustus.Bettongia_lesueur.Oryctolagus_cuniculus.Taeniopygia_guttata.Turnix_velox.Melopsittacus_undulatus.Varanus_acanthurus.Anas_superciliosa.Isodon_auratus.Macrotis_lagotis.Stiltia_isabella.Pygopus_schraderi.Amphibolurus_burnsi.Heteronotia_binoei.Oedura_marmorata.Perameles_eremiana.Chaeropus_ecaudatus.Tachyglossus_aculeatus.Lagorchestes_hirsutus.Ocyphaps_lophotes.Petrogale_lateralis.Notomys_sp..Egernia_striolata.Egernia_striata.Egernia_kintorei.Notoryctes_caurinus.Pogona_minor.Pogona_vitticeps.Lophognatus_gilberti.Tympanocryptis_tetraporophora.Moloch_horridus.Ctenotus_isolepis.Ctenophorus_caudicinctus.Ctenotus_strauchii.Ctenotus_leonhardii.Ctenotus_robustus.Tiliqua_scincoides.Tiliqua_occipitalis.Tiliqua_multifasciata.Morethia_lineoocellatus.Menetia_greyii.Lerista_bougainvillea.Leiolopisma_trilineatum.Leiolopisma_metallicum.Hemiergis_peronii	16	1	0	0	0	6	12	18	I	1	1.2	2	2.4	0.5217	0.2292	3	0.06841	12.72	
Sminthopsis_macroura.Leggadina_forresti	17	1	0	0	0	2	3	5	I	1	1	1	2	0	0.1111	3	0.02479	109.6	
Trichosurus_vulpecula.Camelus_dromedarius.Calyptorhynchus_roseicapilla.Fulica_atra	18	1	0	0	0	2	3	5	I	1	1	1	2	0	0.6667	3	0.01763	92.96	
Bird_egg_shell.Reptile_eggs	19	1	0	0	0	0	4	4	B	0	0	0	1	0	0.3125	3	0.02292	34.99	
Vulpes_vulpes.Varanus_panoptes.Varanus_giganteus.Varanus_gouldii	20	1	0	0	0	9	4	13	I	1	4.799	8	3.15	1.929	0.6875	3	0.01939	11.47	
Canis_lupus_dingo.Homo_sapiens.Aquila_audax	21	1	0	0	0	13	3	16	I	1	4.476	8	3.585	1.719	0.8889	3	0.01745	10.35	
Felis_catus	22	1	0	0	0	7	1	8	I	1	5.157	8	3.414	1.67	0	3	0.01354	34.14	
Portulaca_oleracea.Tetragonia_eremaea.Nitraria_billardierei.Eremophila_longifolia.Daucus_glochidiatus.Calandrinia_polyandra.Mycoclelandia_bulundarii.Psylla_eucalypti.Enchylaena_tomentosa.Cucumis_melo_(agrestis).Chenopodium_curvispicatum.Acacia_tetragonophylla.Acacia_spondylophylla.Acacia_pruinocarpa.Acacia_ligulata.Acacia_kempeana.Acacia_dictyophleba.Acacia_cuthbertsoni.Acacia_cowleana.Acacia_coriacea.Acacia_acradenia.Acacia_aneura.Chioromyces_aboriginum.Senna_sp..Scaevola_parvifolia.Solanum_gilesii.Solanum_diversiflorum.Solanum_cleistogamum.Solanum_chippendalei.Solanum_centrale.Solanum_lasiophyllum.Dactyloctenium_radulans.Rhyncharrhena_linearis.Yakirra_australiensis.Plectrachne_schinzii.Panicum_decompositum.Eragrostis_setifolia.Eragrostis_lanipes.Eragrostis_eriopoda.Triodia_pungens.Triodia_longiceps.Triodia_basedownii.Hakea_suberea.Santalum_acuminatum.Santalum_lanceolatum.Hakea_leucoptera.Tecticornia_verrucosa.Cynanchum_floribundum.Capparis_umbonata.Capparis_loranthifolia.Canthium_latifolium.Canthium_attenuatum.Amyema_sp..Sida_calyxhymenia.Ptilotus_polystachyus.Ptilotus_macrocephalus.Ptilotus_exaltatus.Thyridolepis_multiculmis.Ficus_brachypoda.Eremophila_latrobei.Grevillea_wickhamii.Grevillea_stenobotrya.Grevillea_eriostachya.Thryptomene_maisonneuve.Leptosema_chambersii.Eucalyptus_opaca.Allocasuarina_decaisneana	23	1	0	0	0	0	8	8	B	0	0	0	1	0	0.1875	3	0.08541	17.06	
Fire	24	1	0	0	0	5	1	6	I	1	1.667	3	2.28	0.48	0	3	0.02439	74.74	
human	25	1	0	0	0	1	0	1	T	2	2.667	4	3.28	0	0	4	0.0122	441	
