predator,prey,type
Amphibolurus burnsi,Araneidae,predatorprey
Amphibolurus burnsi,Blattodea,predatorprey
Amphibolurus burnsi,Chilopoda,predatorprey
Amphibolurus burnsi,Coleoptera,predatorprey
Amphibolurus burnsi,Lepidoptera,predatorprey
Anas superciliosa,Blattodea,predatorprey
Anas superciliosa,Coleoptera,predatorprey
Anas superciliosa,Triodia basedownii,predatorprey
Anas superciliosa,Triodia longiceps,predatorprey
Anas superciliosa,Triodia pungens,predatorprey
Antaresia stimsoni,Ctenotus robustus,predatorprey
Antaresia stimsoni,Egernia kintorei,predatorprey
Antaresia stimsoni,Egernia striata,predatorprey
Antaresia stimsoni,Egernia striolata,predatorprey
Antaresia stimsoni,Hemiergis peronii,predatorprey
Antaresia stimsoni,Lagorchestes hirsutus,predatorprey
Antaresia stimsoni,Leggadina forresti,predatorprey
Antaresia stimsoni,Leiolopisma metallicum,predatorprey
Antaresia stimsoni,Leiolopisma trilineatum,predatorprey
Antaresia stimsoni,Lerista bougainvillea,predatorprey
Antaresia stimsoni,Menetia greyii,predatorprey
Antaresia stimsoni,Morethia lineoocellatus,predatorprey
Antaresia stimsoni,Notaden nichollsi,predatorprey
Antaresia stimsoni,Notomys sp.,predatorprey
Antaresia stimsoni,Tiliqua multifasciata,predatorprey
Antaresia stimsoni,Tiliqua occipitalis,predatorprey
Antaresia stimsoni,Tiliqua scincoides,predatorprey
Antaresia stimsoni,Notoryctes caurinus,predatorprey
Antaresia stimsoni,Petrogale lateralis,predatorprey
Antaresia stimsoni,Tachyglossus aculeatus,predatorprey
Aprasia striolata,Formicidae,predatorprey
Aprasia striolata,Lepidoptera,predatorprey
Ardeotis australis,Amphibolurus burnsi,predatorprey
Ardeotis australis,Blattodea,predatorprey
Ardeotis australis,Chilopoda,predatorprey
Ardeotis australis,Coleoptera,predatorprey
Ardeotis australis,Ctenotus leonhardii,predatorprey
Ardeotis australis,Ctenotus robustus,predatorprey
Ardeotis australis,Ctenotus strauchii,predatorprey
Ardeotis australis,Egernia striolata,predatorprey
Ardeotis australis,Heteronotia binoei,predatorprey
Ardeotis australis,Lepidoptera,predatorprey
Ardeotis australis,Notomys sp.,predatorprey
Ardeotis australis,Oedura marmorata,predatorprey
Ardeotis australis,Pogona vitticeps,predatorprey
Ardeotis australis,Pseudechis australis,predatorprey
Ardeotis australis,Pygopus schraderi,predatorprey
Ardeotis australis,Solanum centrale,predatorprey
Ardeotis australis,Solanum chippendalei,predatorprey
Ardeotis australis,Solanum cleistogamum,predatorprey
Ardeotis australis,Solanum diversiflorum,predatorprey
Ardeotis australis,Solanum gilesii,predatorprey
Ardeotis australis,Stiltia isabella,predatorprey
Ardeotis australis,Suta suta,predatorprey
Ardeotis australis,Taeniopygia guttata,predatorprey
Ardeotis australis,Tiliqua multifasciata,predatorprey
Ardeotis australis,Tiliqua occipitalis,predatorprey
Ardeotis australis,Triodia basedownii,predatorprey
Ardeotis australis,Triodia longiceps,predatorprey
Ardeotis australis,Triodia pungens,predatorprey
Ardeotis australis,Turnix velox,predatorprey
Ardeotis australis,Tympanocryptis tetraporophora,predatorprey
Ardeotis australis,Varanus gouldii,predatorprey
Ardeotis australis,Varanus tristis,predatorprey
Ardeotis australis,Melopsittacus undulatus,predatorprey
Ardeotis australis,Notoryctes caurinus,predatorprey
Ardeotis australis,Ocyphaps lophotes,predatorprey
Aspidites melanocephalus,Bettongia lesueur,predatorprey
Aspidites melanocephalus,Ctenophorus caudicinctus,predatorprey
Aspidites melanocephalus,Ctenophorus caudicinctus,predatorprey
Aspidites melanocephalus,Ctenotus isolepis,predatorprey
Aspidites melanocephalus,Ctenotus robustus,predatorprey
Aspidites melanocephalus,Egernia kintorei,predatorprey
Aspidites melanocephalus,Egernia striata,predatorprey
Aspidites melanocephalus,Egernia striolata,predatorprey
Aspidites melanocephalus,Hemiergis peronii,predatorprey
Aspidites melanocephalus,Lagorchestes hirsutus,predatorprey
Aspidites melanocephalus,Leiolopisma metallicum,predatorprey
Aspidites melanocephalus,Leiolopisma trilineatum,predatorprey
Aspidites melanocephalus,Lerista bougainvillea,predatorprey
Aspidites melanocephalus,Lophognatus gilberti,predatorprey
Aspidites melanocephalus,Menetia greyii,predatorprey
Aspidites melanocephalus,Moloch horridus,predatorprey
Aspidites melanocephalus,Morethia lineoocellatus,predatorprey
Aspidites melanocephalus,Notomys sp.,predatorprey
Aspidites melanocephalus,Pogona minor,predatorprey
Aspidites melanocephalus,Pogona minor,predatorprey
Aspidites melanocephalus,Pogona vitticeps,predatorprey
Aspidites melanocephalus,Pogona vitticeps,predatorprey
Aspidites melanocephalus,Pseudechis australis,predatorprey
Aspidites melanocephalus,Pseudechis australis,predatorprey
Aspidites melanocephalus,Reptile eggs,predatorprey
Aspidites melanocephalus,Suta suta,predatorprey
Aspidites melanocephalus,Taeniopygia guttata,predatorprey
Aspidites melanocephalus,Tiliqua occipitalis,predatorprey
Aspidites melanocephalus,Tiliqua scincoides,predatorprey
Aspidites melanocephalus,Varanus acanthurus,predatorprey
Aspidites melanocephalus,Varanus tristis,predatorprey
Aspidites melanocephalus,Melopsittacus undulatus,predatorprey
Aspidites melanocephalus,Notoryctes caurinus,predatorprey
Aspidites melanocephalus,Ocyphaps lophotes,predatorprey
Aspidites melanocephalus,Petrogale lateralis,predatorprey
Aspidites melanocephalus,Tachyglossus aculeatus,predatorprey
Aspidites ramsayii,Bettongia lesueur,predatorprey
Aspidites ramsayii,Ctenophorus caudicinctus,predatorprey
Aspidites ramsayii,Ctenophorus caudicinctus,predatorprey
Aspidites ramsayii,Ctenotus isolepis,predatorprey
Aspidites ramsayii,Egernia kintorei,predatorprey
Aspidites ramsayii,Egernia striata,predatorprey
Aspidites ramsayii,Egernia striolata,predatorprey
Aspidites ramsayii,Hemiergis peronii,predatorprey
Aspidites ramsayii,Lagorchestes hirsutus,predatorprey
Aspidites ramsayii,Leiolopisma metallicum,predatorprey
Aspidites ramsayii,Leiolopisma trilineatum,predatorprey
Aspidites ramsayii,Lerista bougainvillea,predatorprey
Aspidites ramsayii,Lophognatus gilberti,predatorprey
Aspidites ramsayii,Menetia greyii,predatorprey
Aspidites ramsayii,Morethia lineoocellatus,predatorprey
Aspidites ramsayii,Notomys sp.,predatorprey
Aspidites ramsayii,Oedura marmorata,predatorprey
Aspidites ramsayii,Oryctolagus cuniculus,predatorprey
Aspidites ramsayii,Pogona minor,predatorprey
Aspidites ramsayii,Pogona minor,predatorprey
Aspidites ramsayii,Pogona vitticeps,predatorprey
Aspidites ramsayii,Pseudechis australis,predatorprey
Aspidites ramsayii,Reptile eggs,predatorprey
Aspidites ramsayii,Taeniopygia guttata,predatorprey
Aspidites ramsayii,Tiliqua multifasciata,predatorprey
Aspidites ramsayii,Tiliqua occipitalis,predatorprey
Aspidites ramsayii,Tiliqua scincoides,predatorprey
Aspidites ramsayii,Varanus acanthurus,predatorprey
Aspidites ramsayii,Varanus gouldii,predatorprey
Aspidites ramsayii,Varanus tristis,predatorprey
Aspidites ramsayii,Melopsittacus undulatus,predatorprey
Aspidites ramsayii,Notoryctes caurinus,predatorprey
Aspidites ramsayii,Ocyphaps lophotes,predatorprey
Aspidites ramsayii,Petrogale lateralis,predatorprey
Aspidites ramsayii,Tachyglossus aculeatus,predatorprey
Bettongia lesueur,Eragrostis eriopoda,predatorprey
Bettongia lesueur,Eragrostis lanipes,predatorprey
Bettongia lesueur,Eragrostis setifolia,predatorprey
Bettongia lesueur,Panicum decompositum,predatorprey
Bettongia lesueur,Plectrachne schinzii,predatorprey
Bettongia lesueur,Ptilotus exaltatus,predatorprey
Bettongia lesueur,Ptilotus macrocephalus,predatorprey
Bettongia lesueur,Ptilotus polystachyus,predatorprey
Bettongia lesueur,Sida calyxhymenia,predatorprey
Bettongia lesueur,Triodia basedownii,predatorprey
Bettongia lesueur,Triodia longiceps,predatorprey
