predator,prey,weight,type
Fire,Bird egg shell,,negative
Fire,Reptile eggs,,negative
Fire,Blattodea,,negative
Fire,Araneidae,,negative
Fire,Chilopoda,,negative
Fire,Phasmatodea,,negative
Fire,Tiliqua multifasciata,30%  casualty,negative
Fire,Tiliqua occipitalis,30%  casualty,negative
Fire,Tiliqua scincoides,30%  casualty,negative
Fire,Ctenophorus caudicinctus,30%  casualty,negative
Fire,Moloch horridus,30%  casualty,negative
Fire,Ctenotus isolepis,30%  casualty,negative
Fire,Ctenotus leonhardii,30%  casualty,negative
Fire,Ctenotus robustus,30%  casualty,negative
Fire,Ctenotus strauchii,30%  casualty,negative
Fire,Pogona minor,30%  casualty,negative
Fire,Pogona vitticeps,30%  casualty,negative
Fire,Camponotus inflatus,,negative
