common,latin
Acacia,Acacia acradenia
Acacia,Acacia aneura
Acacia,Acacia coriacea
Acacia,Acacia cowleana
Acacia,Acacia cuthbertsoni
Acacia,Acacia dictyophleba
Acacia,Acacia kempeana
Acacia,Acacia ligulata
Acacia,Acacia pruinocarpa
Acacia,Acacia spondylophylla
Acacia,Acacia tetragonophylla
Desert oak,Allocasuarina decaisneana
Eucaluptus,Eucalyptus opaca
pig-footed bandicoot,Chaeropus ecaudatus
desert bandicoot,Perameles eremiana
golden bandicoot,Isodon auratus
Burrowing betong,Bettongia lesueur
Greater bilby,Macrotis lagotis
Pacific black duck,Anas superciliosa
Galah,Calyptorhynchus roseicapilla
Crows,Corvus cecilae
Australian hobby,Falco longipennis
Eurasian coot,Fulica atra
Budgie parakeet,Melopsittacus undulatus
creseted pigeon,Ocyphaps lophotes
Australian pratincole,Stiltia isabella
zebra finch,Taeniopygia guttata
Little buttonquail,Turnix velox
Round leaf caper,Capparis loranthifolia
Wild orange,Capparis umbonata
Dumara bush,Cynanchum floribundum
barrier saltbush,Enchylaena tomentosa
Nitre bush,Nitraria billardierei
Desert quandong,Santalum acuminatum
Northern sandalwood,Santalum lanceolatum
flowering plant,Senna sp.
tall sida,Sida calyxhymenia
purple flower bush,Tecticornia verrucosa
Desert heath myrtle,Thryptomene maisonneuve
bustard,Ardeotis australis
Camel,Camelus dromedarius
crest-tailed mulgara,Dasycercus cristicauda
carniverous marsupial,Dasycercus hilleri
carniverous marsupial,Dasyurus hallucatus
stripe-faced dunnart,Sminthopsis macroura
Cat,Felis catus
Dingo,Canis lupus dingo
Wedge-tailed eagle,Aquila audax
bird shell,Bird egg shell
reptile eggs,Reptile eggs
Emu,Dromaius novaehollandiae
Fire,Fire
Fire,Fire
Flowering saltbush,Leptosema chambersii
Camel weed,Scaevola parvifolia
Purslane,Calandrinia polyandra
Amaranth,Chenopodium curvispicatum
buttongrass,Dactyloctenium radulans
Australian carrot,Daucus glochidiatus
common purslane,Portulaca oleracea
pink mulla mulla,Ptilotus exaltatus
green pussytail,Ptilotus macrocephalus
Prince of Wales feather grass,Ptilotus polystachyus
plant,Rhyncharrhena linearis
short herb,Tetragonia eremaea
truffle,Chioromyces aboriginum
fungus,Mycoclelandia bulundarii
fox,Vulpes vulpes
Varanid,Varanus acanthurus
Varanid,Varanus giganteus
Varanid,Varanus gouldii
Varanid,Varanus panoptes
Varanid,Varanus tristis
australian millet,Panicum decompositum
Lazarides grass,Yakirra australiensis
grass,Thyridolepis multiculmis
Australian moth,Endoxyla cinerea
Cossid moth,Endoxyla leucomochla
human,Homo sapiens
Spiders,Araneidae
Freshwater rotifers,Bdelloid
Cockroaches and Termites,Blattodea
Freshwater plankton,Brachionus sp.
Honey ant,Camponotus inflatus
Rotifer,Cephalodella sp.
centipede,Chilopoda
Plague locust,Chortoicetes terminifera
beetles,Coleoptera
True flies,Diptera
Ants,Formicidae
True bugs,Heteroptera
pond scum,Lemna disperma
Butterflies and moths,Lepidoptera
Mantis,Mantodea
roundworms,Nematodes
lacewing,Neuroptera
"grasshopper, locust, cricket",Orthoptera
micro crustaceans,Ostracods
stick bug,Phasmatodea
Protozoa,Protozoans (ciliates)
scorpions,Scorpionida
stingless bees,Trigona sp.
silverfish insect,Zygentoma 
Tree growth parasite,Psylla eucalypti
Hill kangaroo,Macropus robustus
Red kangaroo,Macropus rufus
mala,Lagorchestes hirsutus
Bush Onion,Cyperus bulbosus
water milfoil,Myriophyllum crispatum
southern cattail,Typha dominguensis
bullrush,Typha orientalis
native fuscia,Eremophila latrobei
flowering figwort,Eremophila longifolia
Australian myrtle,Canthium attenuatum
myrtle,Canthium latifolium
Ficus,Ficus brachypoda
Lizard,Amphibolurus burnsi
Striated worm-lizard,Aprasia striolata
ring tailed dragon,Ctenophorus caudicinctus
Military dragon,Ctenotus isolepis
Leonhardi's lizard,Ctenotus leonhardii
Eastern striped skink,Ctenotus robustus
Eastern Barred Wedgesnoutæ,Ctenotus strauchii
Great desert skink,Egernia kintorei
Nocturnal desert skink,Egernia striata
Australian tree skink,Egernia striolata
Four toed earless skink,Hemiergis peronii
Bynoe's gecko,Heteronotia binoei
skink,Leiolopisma metallicum
skink,Leiolopisma trilineatum
Bougainville's skink,Lerista bougainvillea
Gilbert's dragon,Lophognatus gilberti
common dwarf skink,Menetia greyii
thorny devil,Moloch horridus
West coat Morethia skink,Morethia lineoocellatus
desert spadefoot toad,Notaden nichollsi
marbled gecko,Oedura marmorata
dwarf bearded dragon,Pogona minor
central bearded dragon,Pogona vitticeps
eastern hooded scaly foot,Pygopus schraderi
Eyrean earless dragon,Tympanocryptis tetraporophora
European rabbit,Oryctolagus cuniculus
Forrest's mouse,Leggadina forresti
native mouse,Notomys sp.
Northern marsupial mole,Notoryctes caurinus
black-flanked rock wallabee,Petrogale lateralis
short-beaked echidna,Tachyglossus aculeatus
brushtail possum,Trichosurus vulpecula
Stimson's python,Antaresia stimsoni
black-headed python,Aspidites melanocephalus
Ramsay's python,Aspidites ramsayii
mulga snake,Pseudechis australis
venomous snake,Suta suta
Solanum fruits,Solanum centrale
Solanum fruits,Solanum chippendalei
Solanum fruits,Solanum cleistogamum
Solanum fruits,Solanum diversiflorum
Solanum fruits,Solanum gilesii
Solanum fruits,Solanum lasiophyllum
Woolybutt grass,Eragrostis eriopoda
Canegrass,Eragrostis lanipes
Canegrass,Eragrostis setifolia
Soft spinifex,Plectrachne schinzii
spinifex,Triodia basedownii
spinifex,Triodia longiceps
spinifex,Triodia pungens
