Source,Target,type,include
skinks,insect,predatorprey,1
bird,insect,predatorprey,1
bird,spinifex,predatorprey,1
Snakes,skinks,predatorprey,1
Snakes,mala,predatorprey,1
Snakes,small mammal,predatorprey,1
Snakes,tiliqua,predatorprey,1
bustard,skinks,predatorprey,1
bustard,insect,predatorprey,1
bustard,small mammal,predatorprey,1
bustard,Snakes,predatorprey,1
bustard,solanum,predatorprey,1
bustard,bird,predatorprey,1
bustard,tiliqua,predatorprey,1
bustard,spinifex,predatorprey,1
bustard,goanna,predatorprey,1
Snakes,betong,predatorprey,1
Snakes,Snakes,predatorprey,1
Snakes,eggs,predatorprey,1
Snakes,bird,predatorprey,1
Snakes,goanna,predatorprey,1
betong,spinifex,predatorprey,1
betong,grass,predatorprey,1
betong,forb,predatorprey,1
betong,bush,predatorprey,1
bird,Acacia,predatorprey,1
camel,misc_plant,predatorprey,1
camel,shrub,predatorprey,1
camel,bush,predatorprey,1
camel,forb,predatorprey,1
camel,spinifex,predatorprey,1
camel,wama,predatorprey,1
camel,grass,predatorprey,1
camel,solanum,predatorprey,1
bandicoot,spinifex,predatorprey,1
bandicoot,grass,predatorprey,1
bandicoot,forb,predatorprey,1
bird,forb,predatorprey,1
bird,misc_plant,predatorprey,1
bird,bush,predatorprey,1
bird,human,predatorprey,1
bird,mala,predatorprey,1
bird,skinks,predatorprey,1
bird,Snakes,predatorprey,1
bird,bird,predatorprey,1
bird,goanna,predatorprey,1
bird,small mammal,predatorprey,1
skinks,skinks,predatorprey,1
carnivorous_mammal,insect,predatorprey,1
carnivorous_mammal,honeyant,predatorprey,1
carnivorous_mammal,betong,predatorprey,1
carnivorous_mammal,bandicoot,predatorprey,1
carnivorous_mammal,mala,predatorprey,1
carnivorous_mammal,bilby,predatorprey,1
carnivorous_mammal,small mammal,predatorprey,1
carnivorous_mammal,bird,predatorprey,1
emu,Acacia,predatorprey,1
emu,misc_plant,predatorprey,1
emu,shrub,predatorprey,1
emu,bush,predatorprey,1
emu,forb,predatorprey,1
emu,grub,predatorprey,1
emu,wama,predatorprey,1
emu,skinks,predatorprey,1
emu,spinifex,predatorprey,1
emu,grass,predatorprey,1
skinks,spinifex,predatorprey,1
skinks,forb,predatorprey,1
skinks,shrub,predatorprey,1
skinks,solanum,predatorprey,1
skinks,grass,predatorprey,1
