*Species	#	Conn	Mod	AicG	TroG	In	Out	Deg	Pos	Hmin	Hmean	Hmax	TroLev	OI	Clust	Eccen	Rank	CycTime	
*Araneidae	1	1	1	0	0	0	32	32	B	0	0	0	1	0	0.03711	4	0.01153	105.3	
Amphibolurus_burnsi	2	1	1	0	0	5	5	10	I	1	1	1	2	0	0.24	3	0.002817	884.7	
Blattodea	3	1	1	0	0	0	43	43	B	0	0	0	1	0	0.04813	3	0.01787	85.2	
Chilopoda	4	1	1	0	0	0	33	33	B	0	0	0	1	0	0.06244	3	0.01192	102.4	
Coleoptera	5	1	1	0	0	0	40	40	B	0	0	0	1	0	0.04938	3	0.01483	88.3	
Lepidoptera	6	1	1	0	0	0	34	34	B	0	0	0	1	0	0.05363	4	0.01363	98.18	
Anas_superciliosa	7	1	2	0	0	5	3	8	I	1	1	1	2	0	0.5556	3	0.002449	1016	
Triodia_basedownii	8	1	2	0	0	0	17	17	B	0	0	0	1	0	0.02076	4	0.005331	178.5	
Triodia_longiceps	9	1	2	0	0	0	21	21	B	0	0	0	1	0	0.02268	4	0.006169	150.5	
Triodia_pungens	10	1	2	0	0	0	21	21	B	0	0	0	1	0	0.02268	4	0.006169	150.5	
Ctenotus_robustus	11	1	1	0	0	14	13	27	I	1	1	1	2.077	0.2575	0.2367	3	0.004207	196.1	
Antaresia_stimsoni	12	1	1	0	0	20	1	21	I	2	2.411	3	3.071	0.3476	0	3	0.002265	403.8	
Egernia_kintorei	13	1	2	0	0	16	4	20	I	1	1	1	2	0	0.25	3	0.002518	304.7	
Egernia_striata	14	1	2	0	0	17	4	21	I	1	1	1	2	0	0.25	3	0.002518	286.8	
Egernia_striolata	15	1	2	0	0	17	7	24	I	1	1	1	2	0	0.1633	3	0.002959	236.5	
Hemiergis_peronii	16	1	1	0	0	9	8	17	I	1	1.759	2	2.222	0.4157	0.1094	4	0.003257	438.4	
Lagorchestes_hirsutus	17	1	1	0	0	12	9	21	I	1	1	1	2	0	0.2099	3	0.003021	302.5	
Leggadina_forresti	18	1	2	0	0	15	4	19	I	1	1	1	2	0	0.125	3	0.002744	319.9	
Leiolopisma_metallicum	19	1	1	0	0	9	11	20	I	1	1.759	2	2.222	0.4157	0.08264	4	0.00352	377.7	
Leiolopisma_trilineatum	20	1	1	0	0	9	10	19	I	1	1.759	2	2.222	0.4157	0.08	4	0.003452	396.5	
Lerista_bougainvillea	21	1	1	0	0	5	6	11	I	1	1	1	2	0	0.1111	4	0.002935	858.3	
Menetia_greyii	22	1	1	0	0	6	7	13	I	1	1	1	2	0	0.102	4	0.003223	665	
Morethia_lineoocellatus	23	1	1	0	0	6	7	13	I	1	1	1	2	0	0.102	4	0.003223	665	
Notaden_nichollsi	24	1	1	0	0	3	1	4	I	1	1	1	2	0	0	4	0.002345	2052	
Notomys_sp.	25	1	2	0	0	15	12	27	I	1	1	1	2	0	0.1944	3	0.003569	206.8	
Tiliqua_multifasciata	26	1	1	0	0	9	8	17	I	1	1.759	2	2.222	0.4157	0.1875	3	0.003055	436.5	
Tiliqua_occipitalis	27	1	1	0	0	9	9	18	I	1	1.759	2	2.222	0.4157	0.1605	3	0.003125	417	
Tiliqua_scincoides	28	1	1	0	0	9	4	13	I	1	1.759	2	2.222	0.4157	0	4	0.00254	582.2	
Notoryctes_caurinus	29	1	1	0	0	9	11	20	I	1	1	1	2	0	0.1901	3	0.003453	360.8	
Petrogale_lateralis	30	1	2	0	0	10	8	18	I	1	1	1	2	0	0.1875	3	0.002904	383.1	
Tachyglossus_aculeatus	31	1	1	0	0	3	8	11	I	1	1	1	2	0	0.1875	3	0.002904	1277	
Formicidae	32	1	1	0	0	0	30	30	B	0	0	0	1	0	0.02556	4	0.01656	112	
Aprasia_striolata	33	1	1	0	0	2	4	6	I	1	1	1	2	0	0.1875	4	0.002793	2377	
Ardeotis_australis	34	1	1	0	0	35	4	39	I	1	8.186	13	2.783	1.363	0.5	3	0.002633	154.8	
Ctenotus_leonhardii	35	1	1	0	0	14	6	20	I	1	1.5	2	2.077	0.2575	0.1667	3	0.002873	299.4	
Ctenotus_strauchii	36	1	1	0	0	14	5	19	I	1	1.5	2	2.077	0.2575	0.12	4	0.002796	318.8	
Heteronotia_binoei	37	1	1	0	0	4	5	9	I	1	1	1	2	0	0.24	3	0.002817	1106	
Oedura_marmorata	38	1	1	0	0	10	6	16	I	1	2.5	3	2.444	0.717	0.1944	3	0.002886	513.9	
Pogona_vitticeps	39	1	1	0	0	3	8	11	I	1	1	1	2	0	0.1406	3	0.00299	1288	
Pseudechis_australis	40	1	1	0	0	16	5	21	I	2	2.631	4	3.089	0.4321	0.08	3	0.002591	337	
Pygopus_schraderi	41	1	1	0	0	5	2	7	I	1	1	1	2	0	0.25	3	0.002384	1111	
Solanum_centrale	42	1	2	0	0	0	7	7	B	0	0	0	1	0	0.1224	3	0.002944	286.9	
Solanum_chippendalei	43	1	2	0	0	0	7	7	B	0	0	0	1	0	0.1224	3	0.002944	286.9	
Solanum_cleistogamum	44	1	2	0	0	0	7	7	B	0	0	0	1	0	0.1224	3	0.002944	286.9	
Solanum_diversiflorum	45	1	2	0	0	0	7	7	B	0	0	0	1	0	0.1224	3	0.002944	286.9	
Solanum_gilesii	46	1	2	0	0	0	7	7	B	0	0	0	1	0	0.1224	3	0.002944	286.9	
Stiltia_isabella	47	1	1	0	0	5	2	7	I	1	1	1	2	0	0.25	3	0.002384	1111	
Suta_suta	48	1	1	0	0	16	4	20	I	2	2.631	4	3.089	0.4321	0.0625	3	0.002566	357.2	
Taeniopygia_guttata	49	1	2	0	0	19	8	27	I	1	1	1	2	0	0.2031	3	0.00291	198.5	
Turnix_velox	50	1	2	0	0	12	3	15	I	1	1	1	2	0	0.4444	3	0.002417	421.1	
Tympanocryptis_tetraporophora	51	1	1	0	0	3	3	6	I	1	1	1	2	0	0.3333	3	0.002456	1723	
Varanus_gouldii	52	1	1	0	0	17	9	26	I	1	7.51	12	2.647	2.171	0.3333	3	0.003124	172.4	
Varanus_tristis	53	1	1	0	0	11	3	14	I	1	2.303	3	2.469	0.6199	0	4	0.002446	606.3	
Melopsittacus_undulatus	54	1	3	0	0	11	7	18	I	1	1	1	2	0	0.2041	3	0.002794	362.6	
Ocyphaps_lophotes	55	1	2	0	0	22	7	29	I	1	1	1	2	0	0.2041	3	0.002794	181.3	
Bettongia_lesueur	56	1	2	0	0	12	7	19	I	1	1	1	2	0	0.2449	3	0.002874	335.2	
Aspidites_melanocephalus	57	1	1	0	0	32	1	33	I	1	3.16	5	3.093	0.5366	0	3	0.002265	244.8	
Ctenophorus_caudicinctus	58	1	1	0	0	14	6	20	I	1	1.5	2	2.077	0.2575	0.1111	3	0.002838	311.5	
Ctenotus_isolepis	59	1	1	0	0	14	11	25	I	1	1.5	2	2.077	0.2575	0.1736	3	0.003381	232	
Lophognatus_gilberti	60	1	1	0	0	2	5	7	I	1	1	1	2	0	0.16	3	0.002782	2306	
Moloch_horridus	61	1	3	0	0	2	3	5	I	1	1	1	2	0	0.2222	3	0.002391	2601	
Pogona_minor	62	1	1	0	0	3	6	9	I	1	1	1	2	0	0.1111	3	0.002838	1457	
Reptile_eggs	63	1	1	0	0	0	8	8	B	0	0	0	1	0	0.09375	3	0.003173	282.4	
Varanus_acanthurus	64	1	1	0	0	5	5	10	I	1	1	1	2	0	0.08	3	0.002588	920.3	
Aspidites_ramsayii	65	1	1	0	0	33	1	34	I	1	8.465	13	3.095	1.189	0	3	0.002265	226.5	
Oryctolagus_cuniculus	66	1	2	0	0	19	2	21	I	1	1	1	2	0	0.5	3	0.002333	291.9	
Eragrostis_eriopoda	67	1	2	0	0	0	14	14	B	0	0	0	1	0	0	4	0.004805	195.9	
Eragrostis_lanipes	68	1	2	0	0	0	14	14	B	0	0	0	1	0	0	4	0.004805	195.9	
Eragrostis_setifolia	69	1	2	0	0	0	14	14	B	0	0	0	1	0	0	4	0.004805	195.9	
Panicum_decompositum	70	1	2	0	0	0	14	14	B	0	0	0	1	0	0.06122	3	0.004649	194.1	
Plectrachne_schinzii	71	1	2	0	0	0	18	18	B	0	0	0	1	0	0	4	0.005368	168.2	
Ptilotus_exaltatus	72	1	2	0	0	0	10	10	B	0	0	0	1	0	0	4	0.003888	242.1	
Ptilotus_macrocephalus	73	1	2	0	0	0	9	9	B	0	0	0	1	0	0	4	0.003804	253.3	
Ptilotus_polystachyus	74	1	2	0	0	0	10	10	B	0	0	0	1	0	0	4	0.003967	246.1	
Sida_calyxhymenia	75	1	2	0	0	0	8	8	B	0	0	0	1	0	0	4	0.003457	274.4	
Acacia_acradenia	76	1	3	0	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003739	263.4	
Calyptorhynchus_roseicapilla	77	1	3	0	0	13	1	14	I	1	1	1	2	0	0	3	0.002265	458.1	
Acacia_aneura	78	1	3	0	0	0	9	9	B	0	0	0	1	0	0.1111	3	0.003822	251.4	
Acacia_coriacea	79	1	3	0	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003739	263.4	
Acacia_cowleana	80	1	3	0	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003739	263.4	
Acacia_cuthbertsoni	81	1	3	0	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003739	263.4	
Acacia_dictyophleba	82	1	3	0	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003739	263.4	
Acacia_kempeana	83	1	3	0	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003739	263.4	
Acacia_ligulata	84	1	3	0	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003739	263.4	
Acacia_pruinocarpa	85	1	3	0	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003739	263.4	
Acacia_spondylophylla	86	1	3	0	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003739	263.4	
Acacia_tetragonophylla	87	1	3	0	0	0	7	7	B	0	0	0	1	0	0.08163	3	0.00367	277.8	
Allocasuarina_decaisneana	88	1	3	0	0	0	3	3	B	0	0	0	1	0	0.3333	4	0.002523	381.2	
Eucalyptus_opaca	89	1	3	0	0	0	3	3	B	0	0	0	1	0	0.3333	4	0.002604	377	
Amyema_sp.	90	1	3	0	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.00304	270	
Camelus_dromedarius	91	1	2	0	0	34	2	36	I	1	1	1	2	0	0.75	3	0.002337	162.2	
Canthium_attenuatum	92	1	3	0	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.00304	270	
Canthium_latifolium	93	1	3	0	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.00304	270	
Capparis_loranthifolia	94	1	3	0	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.00304	270	
Capparis_umbonata	95	1	3	0	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.00304	270	
Cynanchum_floribundum	96	1	3	0	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.00304	270	
Dactyloctenium_radulans	97	1	3	0	0	0	3	3	B	0	0	0	1	0	0.2222	3	0.002389	382.2	
Hakea_leucoptera	98	1	3	0	0	0	4	4	B	0	0	0	1	0	0.1875	3	0.002473	357.4	
Leptosema_chambersii	99	1	3	0	0	0	3	3	B	0	0	0	1	0	0	4	0.002521	386.8	
Santalum_acuminatum	100	1	3	0	0	0	5	5	B	0	0	0	1	0	0.16	3	0.002637	332.4	
Santalum_lanceolatum	101	1	3	0	0	0	4	4	B	0	0	0	1	0	0.1875	3	0.002554	353.7	
Solanum_lasiophyllum	102	1	2	0	0	0	5	5	B	0	0	0	1	0	0	4	0.002836	329.6	
Tecticornia_verrucosa	103	1	3	0	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.00304	270	
Thryptomene_maisonneuve	104	1	2	0	0	0	2	2	B	0	0	0	1	0	0	4	0.002356	421.1	
Thyridolepis_multiculmis	105	1	2	0	0	0	8	8	B	0	0	0	1	0	0	4	0.003467	263.5	
Yakirra_australiensis	106	1	2	0	0	0	10	10	B	0	0	0	1	0	0.07	3	0.003707	231.6	
Grevillea_eriostachya	107	1	3	0	0	0	3	3	B	0	0	0	1	0	0	4	0.00244	391.2	
Grevillea_stenobotrya	108	1	3	0	0	0	3	3	B	0	0	0	1	0	0	4	0.00244	391.2	
Grevillea_wickhamii	109	1	3	0	0	0	3	3	B	0	0	0	1	0	0	4	0.00244	391.2	
Chaeropus_ecaudatus	110	1	2	0	0	9	4	13	I	1	1	1	2	0	0.4375	3	0.002623	530.9	
Corvus_cecilae	111	1	3	0	0	36	3	39	I	1	7.135	11	2.412	1.257	0.4444	3	0.002458	123.8	
Chenopodium_curvispicatum	112	1	3	0	0	0	3	3	B	0	0	0	1	0	0	4	0.002439	388.8	
Cucumis_melo_(agrestis)	113	1	3	0	0	0	3	3	B	0	0	0	1	0	0.3333	3	0.002389	379.9	
Diptera	114	1	1	0	0	0	6	6	B	0	0	0	1	0	0.1389	4	0.00345	278.6	
Enchylaena_tomentosa	115	1	3	0	0	0	4	4	B	0	0	0	1	0	0.25	3	0.002472	355.4	
Heteroptera	116	1	1	0	0	0	8	8	B	0	0	0	1	0	0.07813	4	0.00442	242.1	
