Species	#	Conn	Mod	AicG	*TroG	In	Out	Deg	Pos	Hmin	Hmean	Hmax	TroLev	OI	Clust	Eccen	Rank	CycTime
*Macrotis_lagotis	small mammal	1	0	0	43	5	2	7	I	1	1	1	2	0	0.5	3	0.002457	1099
Lagorchestes_hirsutus	wallaby	1	0	0	43	12	9	21	I	1	1	1	2	0	0.2099	3	0.003049	301.3
Vulpes_vulpes	fox	1	0	0	43	11	3	14	I	1	8.127	13	2.632	2.94	0.5556	3	0.002436	391.5
Anas_superciliosa	black duck	1	0	0	43	5	3	8	I	1	1	1	2	0	0.5556	3	0.002472	1012
Varanus_acanthurus	monitor lizard	1	0	0	43	5	5	10	I	1	1	1	2	0	0.08	3	0.002612	916.8
Notoryctes_caurinus	marsupial mole	1	0	0	43	9	11	20	I	1	1	1	2	0	0.1901	3	0.003485	359.3
Varanus_tristis	monitor lizard	1	0	0	43	11	3	14	I	1	2.303	3	2.469	0.6199	0	4	0.002469	603.9
Daucus_glochidiatus	carrot	1	0	0	42	0	3	3	B	0	0	0	1	0	0	4	0.002491	389.7
Eremophila_longifolia	figwort	1	0	0	42	0	3	3	B	0	0	0	1	0	0	4	0.002491	389.7
Nitraria_billardierei	salt shrub	1	0	0	42	0	3	3	B	0	0	0	1	0	0	4	0.002491	389.7
Araneidae	spider	1	0	0	41	0	32	32	B	0	0	0	1	0	0.03711	4	0.01159	105.1
Coleoptera	beetle	1	0	0	41	0	40	40	B	0	0	0	1	0	0.04938	3	0.01495	88.03
Chilopoda	centipedes	1	0	0	41	0	33	33	B	0	0	0	1	0	0.06244	3	0.01198	102.2
Lepidoptera	butterflies	1	0	0	41	0	34	34	B	0	0	0	1	0	0.05363	4	0.01374	97.89
Canis_lupus_dingo	dingo	1	0	0	40	33	2	35	I	1	7.938	13	3.084	2.592	0.5	3	0.002403	137.7
Dasyurus_hallucatus	16	1	0	0	40	14	2	16	I	1	1.994	2	2.929	0.2575	0.5	3	0.002398	428.3
Aquila_audax	17	1	0	0	40	22	3	25	I	1	7.55	13	3.168	2.535	0.5556	3	0.00258	212.9
Isodon_auratus	18	1	0	0	39	20	3	23	I	1	1	1	2	0	0.4444	3	0.00253	255.6
Calyptorhynchus_roseicapilla	19	1	0	0	39	13	1	14	I	1	1	1	2	0	0	3	0.002286	456.5
Endoxyla_cinerea	20	1	0	0	39	11	7	18	I	1	1	1	2	0	0.04082	4	0.004452	321.1
Endoxyla_leucomochla	21	1	0	0	39	11	6	17	I	1	1	1	2	0	0	4	0.004368	337.2
Melopsittacus_undulatus	22	1	0	0	39	11	7	18	I	1	1	1	2	0	0.2041	3	0.00282	361.2
Egernia_kintorei	23	1	0	0	38	16	4	20	I	1	1	1	2	0	0.25	3	0.002541	303.6
Egernia_striolata	24	1	0	0	38	17	7	24	I	1	1	1	2	0	0.1633	3	0.002986	235.6
Egernia_striata	25	1	0	0	38	17	4	21	I	1	1	1	2	0	0.25	3	0.002541	285.7
Diptera	26	1	0	0	37	0	6	6	B	0	0	0	1	0	0.1389	4	0.003471	278
Phasmatodea	27	1	0	0	37	0	8	8	B	0	0	0	1	0	0.1563	4	0.003819	251.3
Heteroptera	28	1	0	0	37	0	8	8	B	0	0	0	1	0	0.07813	4	0.004451	241.5
Mantodea	29	1	0	0	37	0	8	8	B	0	0	0	1	0	0.07813	4	0.00386	248.4
Zygentoma_	30	1	0	0	37	0	7	7	B	0	0	0	1	0	0.102	4	0.003791	261.2
Neuroptera	31	1	0	0	37	0	7	7	B	0	0	0	1	0	0.102	4	0.003791	261.2
Ctenophorus_caudicinctus	32	1	0	0	36	14	6	20	I	1	1.5	2	2.077	0.2575	0.1111	3	0.002836	311.4
Ctenotus_robustus	33	1	0	0	36	14	13	27	I	1	1	1	2.077	0.2575	0.2367	3	0.004207	195.9
Ctenotus_strauchii	34	1	0	0	36	14	5	19	I	1	1.5	2	2.077	0.2575	0.12	4	0.002794	318.7
Ctenotus_leonhardii	35	1	0	0	36	14	6	20	I	1	1.5	2	2.077	0.2575	0.1667	3	0.002872	299.2
Ctenotus_isolepis	36	1	0	0	36	14	11	25	I	1	1.5	2	2.077	0.2575	0.1736	3	0.003385	231.7
Ocyphaps_lophotes	37	1	0	0	35	22	7	29	I	1	1	1	2	0	0.2041	3	0.00282	180.6
Leggadina_forresti	38	1	0	0	35	15	4	19	I	1	1	1	2	0	0.125	3	0.00277	318.7
Notomys_sp.	39	1	0	0	35	15	12	27	I	1	1	1	2	0	0.1944	3	0.003603	205.9
Petrogale_lateralis	40	1	0	0	35	10	8	18	I	1	1	1	2	0	0.1875	3	0.002931	381.6
Camelus_dromedarius	41	1	0	0	34	34	2	36	I	1	1	1	2	0	0.75	3	0.002359	161.6
Trichosurus_vulpecula	42	1	0	0	34	16	4	20	I	1	1	1	2	0	0.5	3	0.002658	296.1
